"Country","Cluster","Freq"
"AUS","1",2
"AUT","1",3
"BEL","1",3
"CAN","1",1
"CHE","1",2
"CHL","1",0
"COL","1",0
"CRI","1",0
"CZE","1",0
"DEU","1",0
"DNK","1",2
"EA19","1",1
"ESP","1",0
"EST","1",3
"EU27_2020","1",3
"FIN","1",1
"FRA","1",1
"G-7","1",2
"GBR","1",0
"GRC","1",0
"HUN","1",0
"IRL","1",2
"ISL","1",2
"ISR","1",1
"ITA","1",0
"JPN","1",0
"KOR","1",0
"LTU","1",2
"LUX","1",2
"LVA","1",1
"MEX","1",0
"NLD","1",1
"NOR","1",1
"NZL","1",0
"OECD","1",3
"POL","1",0
"PRT","1",3
"SVK","1",3
"SVN","1",2
"SWE","1",0
"TUR","1",0
"USA","1",1
"AUS","2",1
"AUT","2",0
"BEL","2",0
"CAN","2",0
"CHE","2",1
"CHL","2",0
"COL","2",0
"CRI","2",0
"CZE","2",3
"DEU","2",3
"DNK","2",1
"EA19","2",0
"ESP","2",0
"EST","2",0
"EU27_2020","2",0
"FIN","2",0
"FRA","2",0
"G-7","2",1
"GBR","2",3
"GRC","2",0
"HUN","2",3
"IRL","2",1
"ISL","2",1
"ISR","2",2
"ITA","2",0
"JPN","2",3
"KOR","2",3
"LTU","2",0
"LUX","2",1
"LVA","2",0
"MEX","2",3
"NLD","2",2
"NOR","2",2
"NZL","2",3
"OECD","2",0
"POL","2",3
"PRT","2",0
"SVK","2",0
"SVN","2",1
"SWE","2",0
"TUR","2",0
"USA","2",1
"AUS","3",0
"AUT","3",0
"BEL","3",0
"CAN","3",2
"CHE","3",0
"CHL","3",2
"COL","3",0
"CRI","3",0
"CZE","3",0
"DEU","3",0
"DNK","3",0
"EA19","3",2
"ESP","3",0
"EST","3",0
"EU27_2020","3",0
"FIN","3",2
"FRA","3",2
"G-7","3",0
"GBR","3",0
"GRC","3",0
"HUN","3",0
"IRL","3",0
"ISL","3",0
"ISR","3",0
"ITA","3",3
"JPN","3",0
"KOR","3",0
"LTU","3",1
"LUX","3",0
"LVA","3",2
"MEX","3",0
"NLD","3",0
"NOR","3",0
"NZL","3",0
"OECD","3",0
"POL","3",0
"PRT","3",0
"SVK","3",0
"SVN","3",0
"SWE","3",3
"TUR","3",0
"USA","3",1
"AUS","4",0
"AUT","4",0
"BEL","4",0
"CAN","4",0
"CHE","4",0
"CHL","4",0
"COL","4",0
"CRI","4",1
"CZE","4",0
"DEU","4",0
"DNK","4",0
"EA19","4",0
"ESP","4",0
"EST","4",0
"EU27_2020","4",0
"FIN","4",0
"FRA","4",0
"G-7","4",0
"GBR","4",0
"GRC","4",1
"HUN","4",0
"IRL","4",0
"ISL","4",0
"ISR","4",0
"ITA","4",0
"JPN","4",0
"KOR","4",0
"LTU","4",0
"LUX","4",0
"LVA","4",0
"MEX","4",0
"NLD","4",0
"NOR","4",0
"NZL","4",0
"OECD","4",0
"POL","4",0
"PRT","4",0
"SVK","4",0
"SVN","4",0
"SWE","4",0
"TUR","4",0
"USA","4",0
"AUS","5",0
"AUT","5",0
"BEL","5",0
"CAN","5",0
"CHE","5",0
"CHL","5",0
"COL","5",1
"CRI","5",1
"CZE","5",0
"DEU","5",0
"DNK","5",0
"EA19","5",0
"ESP","5",2
"EST","5",0
"EU27_2020","5",0
"FIN","5",0
"FRA","5",0
"G-7","5",0
"GBR","5",0
"GRC","5",1
"HUN","5",0
"IRL","5",0
"ISL","5",0
"ISR","5",0
"ITA","5",0
"JPN","5",0
"KOR","5",0
"LTU","5",0
"LUX","5",0
"LVA","5",0
"MEX","5",0
"NLD","5",0
"NOR","5",0
"NZL","5",0
"OECD","5",0
"POL","5",0
"PRT","5",0
"SVK","5",0
"SVN","5",0
"SWE","5",0
"TUR","5",0
"USA","5",0
"AUS","6",0
"AUT","6",0
"BEL","6",0
"CAN","6",0
"CHE","6",0
"CHL","6",1
"COL","6",2
"CRI","6",1
"CZE","6",0
"DEU","6",0
"DNK","6",0
"EA19","6",0
"ESP","6",1
"EST","6",0
"EU27_2020","6",0
"FIN","6",0
"FRA","6",0
"G-7","6",0
"GBR","6",0
"GRC","6",1
"HUN","6",0
"IRL","6",0
"ISL","6",0
"ISR","6",0
"ITA","6",0
"JPN","6",0
"KOR","6",0
"LTU","6",0
"LUX","6",0
"LVA","6",0
"MEX","6",0
"NLD","6",0
"NOR","6",0
"NZL","6",0
"OECD","6",0
"POL","6",0
"PRT","6",0
"SVK","6",0
"SVN","6",0
"SWE","6",0
"TUR","6",3
"USA","6",0
